s,c,SpecialistPreference
2784,5,2
2784,226,1
2785,36,1
2786,101,1
2787,101,1
2788,97,2
2788,137,1
2789,35,1
2790,46,1
2791,97,1
2791,128,2
2792,137,2
2792,150,1
2792,236,3
2792,265,4
2793,35,2
2793,143,1
2794,97,1
2794,218,3
2794,263,2
2795,46,1
2795,67,3
2795,259,2
2796,135,1
2797,41,2
2797,97,1
2797,137,3
2798,9,2
2798,35,1
2798,191,4
2798,218,5
2798,263,3
2799,7,2
2799,40,1
2800,226,1
2800,263,2
2801,47,1
2801,69,2
2803,143,1
2804,35,4
2804,111,3
2804,158,1
2804,263,2
2805,265,1
2806,35,2
2806,99,1
2807,8,2
2807,229,1
2808,97,1
2808,125,2
2808,137,3
2809,97,1
2810,35,1
2811,41,1
2811,97,2
2813,46,1
2814,71,2
2814,139,1
2815,163,1
2817,206,1
2820,206,1
2821,52,1
2823,63,2
2823,129,1
2823,204,3
2824,88,1
2826,101,1
2827,172,1
2828,21,3
2828,66,1
2828,166,4
2828,175,2
2828,223,5
2829,37,1
2829,128,2
2829,275,3
2831,7,2
2831,40,1
2831,135,3
2832,24,1
2832,63,2
2833,163,1
2834,97,1
2834,218,2
2835,281,1
2836,8,1
2837,18,1
2837,218,2
2838,97,2
2838,128,4
2838,131,3
2838,228,1
2839,9,1
2840,278,1
2841,228,1
2842,143,1
2843,5,1
2843,35,3
2843,263,2
2844,150,3
2844,236,1
2844,248,2
2845,35,2
2845,228,1
2846,160,1
2847,71,1
2848,35,1
2849,61,1
2850,35,3
2850,158,1
2850,263,2
2851,228,1
2852,62,2
2852,101,3
2852,264,1
2853,143,1
2854,133,2
2854,216,1
2855,99,1
2856,61,2
2856,99,1
2857,47,1
2858,263,1
2859,8,1
2860,135,1
2861,97,1
2861,128,2
2861,218,3
2862,35,2
2862,228,1
2863,101,1
2864,62,2
2864,101,1
2864,263,3
2865,163,1
2866,35,1
2867,5,1
2867,263,2
2868,35,1
2869,48,4
2869,107,3
2869,175,2
2869,237,1
2870,55,2
2870,72,1
2870,152,3
2871,208,2
2871,263,1
2873,20,2
2873,72,1
2874,63,2
2874,97,1
2876,41,1
2876,143,3
2876,259,2
2877,101,1
2877,120,2
2878,101,1
2879,95,1
2880,265,1
2881,82,1
2881,88,2
2881,110,3
2882,106,1
2884,101,1
2884,115,2
2884,144,3
2885,131,1
2885,263,2
2886,243,1
2887,280,1
2888,48,1
2888,107,2
2888,130,3
2889,228,1
2892,33,2
2892,272,1
2893,33,1
2894,95,2
2894,259,1
2895,206,1
2896,35,2
2896,263,1
2898,259,1
2899,35,4
2899,111,2
2899,158,1
2899,263,3
2900,35,2
2900,263,1
2901,92,1
2902,137,1
2903,208,1
2904,43,1
2904,191,2
2905,206,1
2906,35,1
2907,97,1
2908,257,1
2909,125,2
2909,160,1
2909,184,3
2910,259,1
2911,265,1
2912,55,1
2912,263,2
2913,55,1
2913,72,2
2914,55,1
2914,72,2
2914,247,3
2915,55,1
2915,72,2
2916,55,1
2916,72,2
2916,218,3
2917,35,2
2917,255,1
2918,55,2
2918,72,1
2919,62,1
2920,22,2
2920,62,1
2920,65,3
2922,63,3
2922,83,1
2922,161,4
2922,281,2
2923,259,1
2924,263,1
2925,208,1
2926,155,1
2929,214,1
2930,63,1
2931,35,1
2931,95,2
2932,40,5
2932,99,4
2932,100,2
2932,143,3
2932,151,1
2933,39,1
2934,9,1
2934,63,3
2934,263,2
2935,56,1
2937,41,2
2937,150,1
2937,199,3
2938,35,1
2939,97,2
2939,275,1
2942,125,1
2943,243,2
2943,259,1
2944,44,2
2944,228,1
2946,59,1
2949,148,3
2949,201,1
2949,221,4
2949,245,2
2950,46,1
2950,99,3
2950,125,2
2951,7,3
2951,35,2
2951,95,1
2953,29,1
2953,223,2
2953,263,3
2954,73,1
2954,255,2
2955,5,1
2955,263,2
2956,164,4
2956,175,3
2956,216,1
2956,223,2
2957,101,1
2957,263,2
2958,41,1
2958,137,3
2958,271,2
2959,228,1
2960,101,2
2960,113,1
2961,41,3
2961,46,2
2961,97,1
2962,114,1
2963,150,1
2964,9,2
2964,24,10
2964,113,4
2964,120,7
2964,129,5
2964,135,6
2964,218,3
2964,262,1
2964,263,8
2964,271,9
2965,8,1
2965,39,3
2965,155,2
2966,41,3
2966,121,2
2966,271,1
2968,18,1
2969,259,1
2970,41,4
2970,99,3
2970,125,5
2970,143,1
2970,151,2
2971,8,1
2971,229,2
2973,35,2
2973,42,4
2973,68,1
2973,112,3
2974,80,1
2975,18,4
2975,84,3
2975,128,2
2975,275,1
2976,84,1
2977,37,2
2977,275,1
2978,93,2
2978,243,1
2980,35,1
2981,276,1
2982,257,1
2983,95,1
2985,97,1
2987,95,2
2987,137,1
2989,35,1
2990,229,1
2991,263,1
2992,9,1
2992,35,3
2992,263,2
2993,97,1
2993,281,2
2994,72,1
2994,152,2
2995,55,1
2995,72,2
2996,55,2
2996,72,1
2997,29,1
2997,48,3
2997,107,2
2998,139,1
2998,225,2
2999,22,2
2999,113,1
2999,263,3
3000,128,2
3000,268,1
3001,97,2
3001,182,1
3002,35,1
3003,263,1
3004,63,1
3005,35,1
3006,35,1
3006,97,2
3007,206,1
3009,35,1
3010,35,2
3010,131,4
3010,158,1
3010,263,3
3011,62,1
3011,101,2
3011,264,3
3012,153,2
3012,211,3
3012,213,1
3013,8,1
3014,7,6
3014,25,5
3014,41,2
3014,42,1
3014,79,3
3014,214,4
3015,143,1
3016,143,1
3017,205,1
3018,191,1
3019,143,1
3020,33,1
3020,35,2
3020,272,3
3022,101,1
3025,94,1
3026,97,1
3026,137,2
3026,271,3
3027,211,1
3028,78,4
3028,172,2
3028,230,1
3028,263,3
3029,173,2
3029,259,1
3030,211,1
3031,20,3
3031,147,1
3031,211,2
3032,183,1
3033,62,3
3033,101,1
3033,113,2
3034,114,1
3034,277,2
3035,12,1
3035,143,2
3036,9,1
3036,63,3
3036,263,2
3037,150,1
3037,248,2
3038,263,1
3039,33,1
3041,144,1
3041,228,2
3042,5,2
3042,263,1
3043,41,1
3043,208,3
3043,240,2
3043,265,4
3044,35,1
3044,97,2
3045,76,1
3045,209,2
3045,228,3
3046,97,1
3047,35,1
3047,228,2
3048,228,1
3049,84,2
3049,263,1
3050,34,3
3050,129,2
3050,171,1
3052,163,1
3052,170,3
3052,206,2
3053,226,2
3053,263,1
3055,226,1
3056,125,1
3057,78,3
3057,139,2
3057,230,5
3057,244,1
3057,245,4
3058,101,2
3058,113,1
3059,186,1
3060,114,1
3060,150,2
3061,160,1
3061,257,2
3062,41,1
3063,131,1
3064,123,1
3065,35,3
3065,131,4
3065,226,1
3065,263,2
3066,135,1
3066,259,2
3067,257,1
3068,41,2
3068,150,1
3070,257,1
3072,151,1
3072,177,2
3072,259,3
3073,41,2
3073,97,3
3073,137,1
3074,125,1
3075,176,1
3075,184,2
3075,257,3
3077,41,1
3077,59,2
3079,18,3
3079,128,2
3079,218,1
3080,47,1
3080,110,2
3081,35,1
3082,71,1
3083,29,1
3083,107,2
3084,139,1
3085,29,2
3085,63,4
3085,164,1
3085,218,5
3085,232,3
3085,237,6
3086,162,1
3087,139,1
3088,92,1
3089,8,2
3089,222,1
3090,135,1
3090,259,2
3091,59,1
3091,236,2
3092,59,1
3093,20,1
3093,137,2
3095,144,1
3096,35,1
3097,41,1
3099,59,1
3099,265,2
3101,67,1
3101,95,2
3102,59,1
3102,255,2
3104,265,1
3105,231,1
3106,277,1
3107,20,2
3107,186,1
3108,160,2
3108,186,1
3109,63,2
3109,92,1
3110,277,1
3112,41,4
3112,170,3
3112,234,1
3112,259,2
3113,39,1
3114,9,2
3114,63,1
3115,281,1
3116,35,2
3116,79,3
3116,102,4
3116,143,1
3118,35,3
3118,97,2
3118,215,1
3119,40,1
3120,29,1
3120,216,3
3120,223,2
3121,97,1
3122,8,1
3123,39,1
3124,8,1
3125,229,1
3126,229,1
3127,8,1
3128,8,1
3131,8,3
3131,229,1
3131,272,2
3132,229,1
3133,39,1
3133,272,2
3134,229,1
3135,39,1
3136,39,1
3137,229,1
3138,227,2
3138,256,1
3139,227,1
3140,226,1
3141,7,1
3141,8,2
3141,42,3
3142,143,1
3143,52,3
3143,125,2
3143,160,1
3144,125,2
3144,160,1
3146,92,1
3147,35,1
3148,73,1
3149,26,3
3149,110,2
3149,197,1
3150,33,1
3151,40,1
3152,226,3
3152,255,1
3152,266,2
3153,148,1
3154,211,2
3154,277,1
3155,114,1
3155,277,2
3156,114,1
3156,233,4
3156,263,3
3156,277,2
3157,114,1
3157,277,2
3159,114,2
3159,277,1
3162,197,1
3162,259,2
3163,40,3
3163,143,4
3163,151,2
3163,278,1
3164,182,1
3164,196,3
3164,234,2
3165,35,3
3165,131,1
3165,263,2
3166,5,2
3166,263,1
3167,131,1
3167,263,2
3168,41,2
3168,265,1
3169,12,4
3169,99,2
3169,143,1
3169,151,3
3169,259,5
3171,59,1
3171,236,2
3172,41,1
3172,97,2
3173,8,1
3174,35,2
3174,269,1
3175,5,1
3176,41,1
3177,41,1
3178,33,1
3179,64,1
3179,150,2
3180,7,3
3180,40,1
3180,88,2
3182,41,1
3182,227,2
3183,163,2
3183,206,1
3184,41,4
3184,144,5
3184,227,3
3184,229,1
3184,256,2
3185,206,2
3185,229,1
3186,206,1
3187,263,1
3188,229,1
3189,163,1
3190,154,2
3190,245,1
3190,265,3
3191,62,2
3191,65,3
3191,101,4
3191,264,1
3192,183,2
3192,200,1
3193,35,2
3193,80,3
3193,226,1
3194,163,1
3195,163,1
3196,41,2
3196,240,3
3196,263,1
3197,206,1
3198,35,2
3198,143,1
3199,99,1
3200,94,1
3201,97,1
3202,176,1
3202,257,2
3203,35,2
3203,226,1
3204,59,1
3205,35,1
3206,128,1
3207,128,1
3208,101,1
3208,274,2
3210,55,4
3210,72,6
3210,115,5
3210,139,2
3210,152,7
3210,194,1
3210,195,3
3211,265,1
3212,7,1
3213,265,1
3214,56,3
3214,97,1
3214,128,2
3215,41,3
3215,99,1
3215,125,2
3216,35,1
3216,87,2
3217,226,1
3218,110,1
3220,71,1
3221,276,1
3222,37,1
3222,128,2
3223,5,1
3223,35,2
3224,35,1
3225,126,2
3225,151,1
3226,84,2
3226,226,1
3227,5,1
3227,35,2
3227,263,3
3229,56,2
3229,275,1
3230,47,2
3230,95,3
3230,259,1
3231,64,3
3231,130,1
3231,133,2
3232,39,1
3232,259,2
3233,132,2
3233,245,1
3234,236,1
3234,248,2
3235,189,2
3235,210,1
3236,35,1
3237,202,2
3237,212,1
3238,33,3
3238,229,2
3238,272,1
3239,97,2
3239,137,1
3240,191,1
3240,229,2
3241,35,1
3241,167,2
3242,25,3
3242,46,2
3242,87,1
3243,35,2
3243,47,1
3244,41,1
3244,97,3
3244,265,2
3245,35,1
3247,47,1
3248,39,1
3249,135,3
3249,172,2
3249,243,1
3251,8,1
3252,8,1
3253,33,1
3253,272,2
3255,228,1
3256,12,2
3256,125,1
3259,5,1
3259,35,3
3259,263,2
3260,265,1
3261,94,2
3261,150,1
3262,271,1
3263,5,2
3263,263,1
3264,71,4
3264,208,2
3264,263,1
3264,265,3
3265,150,1
3266,35,2
3266,110,1
3268,9,1
3269,8,2
3269,206,3
3269,229,1
3270,41,1
3270,137,2
3271,129,1
3271,171,3
3271,204,2
3271,218,4
3272,7,5
3272,67,4
3272,110,3
3272,135,1
3272,137,2
3273,35,1
3273,41,5
3273,42,4
3273,68,2
3273,112,3
3274,18,1
3274,218,2
3275,41,1
3276,135,1
3276,259,2
3277,35,1
3278,131,1
3279,40,2
3279,259,1
3281,131,1
3282,139,1
3283,7,1
3284,139,1
3285,236,1
3285,248,2
3286,33,1
3287,33,3
3287,35,1
3287,272,2
3288,41,1
3288,243,2
3289,35,1
3290,35,1
3290,228,2
3291,135,1
3294,35,5
3294,97,2
3294,128,3
3294,215,4
3294,275,1
3295,34,3
3295,129,1
3295,171,4
3295,204,2
3296,281,1
3297,229,1
3298,229,1
3299,229,1
3300,39,1
3301,39,1
3302,39,1
3306,206,1
3307,229,1
3308,63,2
3308,97,1
3309,206,1
3310,206,1
3311,206,2
3311,229,1
3313,8,1
3313,163,3
3313,229,2
3314,206,1
3314,229,2
3315,127,2
3315,153,1
3316,280,1
3317,62,1
3318,35,1
3319,35,1
3320,9,2
3320,35,1
3321,125,1
3324,76,1
3324,144,4
3324,209,3
3324,228,2
3327,39,1
3328,52,2
3328,176,1
3329,228,1
3331,76,3
3331,209,2
3331,228,1
3332,35,1
3333,143,2
3333,151,1
3334,143,1
3335,245,1
3335,265,2
3337,125,1
3337,206,2
3338,39,1
3340,101,1
3340,254,2
3341,125,1
3341,160,2
3341,257,3
3342,75,1
3343,269,1
3344,67,3
3344,135,2
3344,137,1
3345,41,2
3345,97,1
3346,263,1
3347,71,1
3348,78,2
3348,132,3
3348,165,1
3349,101,1
3350,263,1
3350,265,2
3351,125,1
3352,33,2
3352,229,1
3353,144,3
3353,229,1
3353,256,2
3354,92,1
3355,265,1
3356,28,1
3356,130,2
3356,232,3
3358,33,1
3360,64,1
3360,280,2
3362,150,4
3362,208,2
3362,263,1
3362,265,3
3365,202,2
3365,212,1
3366,97,1
3367,95,1
3368,35,2
3368,104,1
3368,191,3
3369,229,2
3369,231,3
3369,272,1
3370,52,2
3370,184,3
3370,257,1
3371,271,1
3372,39,1
3374,40,3
3374,143,1
3374,151,2
3375,85,2
3375,152,1
3376,85,2
3376,152,1
3377,84,1
3377,128,2
3378,35,2
3378,104,1
3379,150,3
3379,236,1
3379,248,2
3381,35,1
3382,144,1
3382,170,3
3382,228,2
3384,145,3
3384,153,1
3384,213,2
3386,35,2
3386,97,1
3387,9,1
3387,35,3
3387,63,2
3388,25,3
3388,35,1
3388,68,2
3390,163,1
3391,209,1
3392,33,1
3393,40,2
3393,135,1
3394,101,2
3394,144,1
3395,92,1
3396,163,1
3397,9,1
3399,35,3
3399,158,1
3399,263,2
3400,41,2
3400,68,1
3401,139,2
3401,266,1
3402,44,1
3402,228,2
3403,265,1
3404,40,1
3405,18,3
3405,56,2
3405,97,1
3405,128,5
3405,218,4
3406,161,2
3406,281,1
3407,139,1
3408,163,1
3408,258,2
3409,163,1
3410,47,1
3411,97,1
3412,144,1
3412,160,2
3412,228,3
3414,143,1
3415,95,1
3416,46,1
3417,88,1
3418,25,1
3418,143,2
3419,82,1
3419,110,3
3419,137,2
3420,5,2
3420,263,1
3421,183,2
3421,200,1
3422,82,1
3422,88,2
3423,7,3
3423,67,2
3423,135,1
3424,71,1
3424,265,2
3425,259,1
3426,7,1
3427,87,1
3427,88,2
3428,33,1
3430,125,1
3431,163,1
3432,139,1
3433,203,1
3434,13,2
3434,101,3
3434,120,4
3434,241,1
3434,254,5
3435,97,1
3435,128,3
3435,228,2
3436,3,1
3437,162,1
3438,128,3
3438,215,2
3438,275,1
3439,84,1
3440,35,4
3440,80,3
3440,97,1
3440,226,2
3441,35,1
3441,263,2
3442,35,1
3443,155,1
3444,151,1
3445,35,1
3445,69,2
3445,269,3
3446,72,1
3447,9,2
3447,63,1
3448,35,1
3448,97,2
3451,47,1
3452,243,1
3453,95,2
3453,262,1
3453,263,3
3454,139,1
3456,35,1
3457,183,1
3457,200,2
3458,180,1
3458,200,2
3459,8,1
3459,33,2
3460,92,1
3460,203,2
3461,20,1
3461,46,2
3461,171,3
3461,204,4
3463,243,1
3464,35,1
3464,47,4
3464,70,2
3464,197,3
3465,41,1
3465,68,2
3466,93,2
3466,97,3
3466,243,1
3467,33,1
3468,128,2
3468,178,3
3468,265,1
3469,228,1
3470,18,3
3470,128,2
3470,218,1
3471,35,1
3472,56,1
3472,128,2
3473,228,1
3474,97,1
3474,137,3
3474,271,2
3475,143,2
3475,151,3
3475,278,1
3476,41,2
3476,137,1
3477,95,1
3478,92,1
3478,203,2
3479,59,2
3479,199,3
3479,265,1
3480,165,2
3480,201,1
3480,245,3
3481,277,1
3482,35,2
3482,144,3
3482,233,1
3483,24,2
3483,63,6
3483,244,1
3483,251,5
3483,263,4
3483,271,3
3484,127,3
3484,153,6
3484,169,5
3484,191,1
3484,210,2
3484,213,4
3484,263,7
3485,137,3
3485,150,2
3485,236,1
3487,51,3
3487,120,2
3487,241,1
3488,202,3
3488,244,1
3488,251,2
3489,92,1
3489,203,2
3490,206,1
3491,199,3
3491,236,1
3491,265,2
3492,135,1
3493,131,1
3493,263,2
3495,72,1
3495,150,2
3496,20,3
3496,171,1
3496,233,2
3497,40,2
3497,143,3
3497,278,1
3498,35,1
3500,143,2
3500,222,1
3501,131,1
3502,95,1
3503,137,1
3504,8,1
3504,99,2
3505,97,2
3505,218,3
3505,275,1
3506,137,1
3506,234,2
3507,101,1
3508,265,1
3509,35,1
3510,62,1
3510,101,2
3511,30,1
3511,150,3
3511,236,2
3512,35,1
3512,278,2
3513,33,1
3514,263,1
3515,173,3
3515,184,2
3515,225,1
3516,22,3
3516,62,1
3516,113,2
3517,137,3
3517,150,2
3517,236,1
3519,3,1
3519,153,3
3519,169,4
3519,213,2
3520,35,1
3521,104,2
3521,191,1
3522,12,3
3522,99,1
3522,143,2
3523,163,1
3524,69,2
3524,95,3
3524,269,1
3526,80,3
3526,97,2
3526,226,1
3528,263,1
3530,35,3
3530,80,2
3530,97,1
3531,143,1
3532,35,2
3532,143,1
3533,35,2
3533,97,1
3533,128,3
3534,245,1
3536,62,2
3536,101,1
3536,113,3
3537,139,1
3538,40,1
3540,125,1
3541,5,2
3541,226,1
3542,35,1
3542,97,2
3543,99,1
3544,101,1
3545,97,1
3545,128,2
3545,218,3
3546,64,2
3546,263,1
3546,280,3
3547,56,2
3547,182,3
3547,234,1
3549,163,1
3550,99,1
3551,61,2
3551,99,1
3552,175,3
3552,216,2
3552,223,1
3552,237,4
3553,259,1
3554,33,1
3555,24,3
3555,225,1
3555,266,2
3556,201,2
3556,221,1
3557,92,1
3558,74,5
3558,127,3
3558,153,2
3558,204,4
3558,213,1
3559,144,1
3562,97,1
3562,282,2
3563,7,1
3563,67,2
3563,259,3
3564,78,2
3564,141,3
3564,154,5
3564,245,1
3564,265,4
3565,277,1
3566,123,1
3566,218,2
3567,40,1
3569,184,2
3569,257,1
3570,191,1
3571,18,5
3571,74,3
3571,145,4
3571,153,2
3571,213,1
3572,42,1
3572,79,3
3572,143,2
3573,41,2
3573,214,1
3574,63,1
3575,275,1
3576,144,1
3577,135,1
3578,40,1
3579,101,1
3582,35,1
3583,99,4
3583,143,2
3583,151,3
3583,278,1
3584,263,1
3585,135,1
3586,39,1
3587,64,1
3587,263,2
3587,280,3
3588,221,1
3588,245,2
3589,211,1
3590,127,3
3590,153,1
3590,213,2
3591,48,1
3592,20,4
3592,23,2
3592,233,1
3592,263,3
3593,72,1
3594,35,2
3594,226,1
3595,164,1
3596,225,1
3597,33,2
3597,231,1
3598,41,1
3598,271,2
3599,265,1
3600,136,1
3602,29,2
3602,92,1
3602,262,3
3605,35,1
3606,82,1
3606,95,3
3606,137,2
3607,88,1
3608,88,1
3608,95,2
3609,75,3
3609,92,2
3609,262,1
3610,41,1
3610,259,2
3611,9,2
3611,263,1
3612,263,1
3613,7,2
3613,12,1
3613,99,3
3614,128,1
3615,3,1
3615,213,2
3616,12,1
3616,88,2
3617,243,1
3617,259,2
3618,149,1
3619,201,2
3619,245,1
3620,243,4
3620,244,2
3620,245,3
3620,251,1
3620,263,5
3621,177,1
3621,200,3
3621,270,2
3622,139,1
3622,266,2
3623,92,1
3623,277,2
3624,186,1
3625,139,1
3626,148,2
3626,230,3
3626,245,1
3627,277,1
3629,28,1
3629,66,3
3629,107,4
3629,150,5
3629,164,2
3630,194,1
3631,277,1
3632,3,1
3632,74,2
3632,145,3
3632,153,4
3632,213,5
3633,9,3
3633,35,1
3633,263,2
3634,88,1
3635,8,1
3635,99,2
3636,265,1
3637,62,3
3637,120,2
3637,241,1
3640,18,1
3640,218,2
3644,33,2
3644,229,3
3644,272,1
3645,84,1
3645,97,2
3646,184,2
3646,225,1
3647,58,1
3648,41,1
3650,9,2
3650,63,1
3651,41,2
3651,137,1
3652,164,1
3652,175,3
3652,237,2
3655,39,1
3655,155,2
3655,191,3
3656,277,1
3657,266,1
3658,101,1
3659,97,1
3659,136,2
3660,218,1
3661,30,3
3661,150,1
3661,236,2
3662,62,1
3662,101,2
3662,144,3
3665,35,1
3666,263,1
3667,131,1
3668,143,1
3669,208,1
3671,97,1
3673,236,1
3675,137,2
3675,243,1
3676,97,1
3677,186,2
3677,200,1
3678,97,1
3679,8,1
3680,229,1
3681,229,1
3682,8,1
3682,272,2
3684,8,1
3684,229,2
3685,33,2
3685,170,3
3685,206,1
3686,33,3
3686,229,2
3686,272,1
3687,229,1
3688,229,1
3689,39,2
3689,229,1
3690,39,1
3691,229,1
3692,39,1
3693,39,1
3694,39,1
3695,225,1
3695,266,2
3696,33,3
3696,231,1
3696,272,2
3697,95,1
3698,128,1
3699,180,3
3699,200,1
3699,247,2
3700,7,1
3701,52,1
3702,174,1
3703,35,1
3704,52,2
3704,184,3
3704,225,1
3704,258,4
3706,97,1
3707,69,2
3707,269,1
3708,137,1
3710,163,2
3710,261,1
3711,41,1
3712,176,2
3712,257,1
3714,227,1
3717,191,1
3718,23,11
3718,48,16
3718,61,2
3718,66,1
3718,74,6
3718,75,8
3718,127,3
3718,135,9
3718,145,14
3718,153,4
3718,169,15
3718,170,5
3718,171,12
3718,216,10
3718,223,7
3718,277,13
3719,35,2
3719,80,3
3719,97,1
3720,35,1
3720,199,2
3724,71,1
3725,177,1
3725,180,4
3725,200,5
3725,207,3
3725,270,2
3726,101,3
3726,120,2
3726,241,4
3726,246,1
3727,101,1
3727,198,2
3730,137,1
3731,35,1
3732,12,1
3732,87,2
3732,143,3
3733,226,1
3733,255,2
3733,266,3
3734,206,1
3735,41,1
3735,271,2
3736,33,2
3736,194,1
3737,56,3
3737,97,1
3737,128,2
3737,218,4
3738,128,2
3738,275,1
3739,8,1
3741,265,1
3743,33,1
3743,206,2
3743,231,3
3744,35,1
3744,97,2
3746,137,1
3747,35,2
3747,226,1
3748,87,2
3748,259,1
3751,145,1
3751,191,3
3751,213,2
3752,9,5
3752,52,2
3752,75,1
3752,144,4
3752,195,3
3753,159,1
3754,97,2
3754,228,1
3755,35,2
3755,263,1
3756,228,1
3757,35,1
3758,263,1
3759,35,2
3759,97,1
3760,170,2
3760,206,1
3761,135,1
3762,133,4
3762,153,5
3762,171,1
3762,195,3
3762,233,2
3763,206,1
3764,92,1
3765,195,3
3765,203,1
3765,262,2
3766,129,1
3766,171,2
3766,204,3
3767,125,2
3767,160,1
3768,64,1
3768,263,2
3770,18,1
3771,163,1
3772,35,1
3776,29,3
3776,99,2
3776,107,4
3776,164,1
3776,175,5
3776,237,6
3777,230,1
3779,26,3
3779,70,2
3779,110,1
3779,259,4
3780,35,1
3780,97,3
3780,228,2
3780,275,4
3782,135,1
3783,137,2
3783,150,1
3783,236,3
3784,228,1
3785,35,3
3785,111,1
3785,158,2
3785,263,4
3786,47,1
3787,191,1
3787,263,2
3788,9,1
3790,39,1
3791,8,2
3791,95,1
3792,74,1
3792,86,3
3792,153,4
3792,213,2
3793,136,1
3793,259,2
3795,125,1
3795,170,2
3796,226,1
3797,145,1
3797,171,3
3797,213,4
3797,277,2
3798,263,1
3798,265,2
3799,163,1
3801,218,1
3801,259,2
3803,9,2
3803,63,1
3804,35,1
3805,35,1
3806,42,2
3806,102,1
3807,80,1
3808,33,1
3809,58,1
3810,114,1
3811,206,1
3812,74,4
3812,127,2
3812,153,1
3812,213,3
3814,228,1
3815,58,2
3815,228,1
3816,29,2
3816,92,1
3816,262,3
3817,102,2
3817,164,1
3818,52,2
3818,75,1
3818,195,3
3819,93,2
3819,136,1
3819,259,3
3820,41,1
3821,192,1
3822,18,3
3822,37,2
3822,275,1
3823,42,2
3823,79,1
3823,259,3
3824,9,3
3824,35,2
3824,263,1
3825,111,3
3825,131,1
3825,263,2
3826,131,1
3827,35,1
3828,182,2
3828,196,1
3829,9,2
3829,63,1
3830,9,3
3830,63,1
3830,259,2
3832,97,3
3832,135,4
3832,182,2
3832,259,1
3833,39,1
3835,33,1
3836,33,1
3836,237,2
3839,257,1
3840,139,1
3840,221,2
3840,244,2
3841,228,1
3843,186,1
3846,137,1
3847,35,1
3848,172,2
3848,265,1
3849,275,1
3851,123,1
3851,128,3
3851,218,2
3852,3,1
3853,22,1
3853,120,2
3854,263,1
3854,265,2
3855,99,1
3856,143,1
3857,135,1
3858,35,1
3859,229,1
3861,171,1
3861,204,2
3863,41,2
3863,263,1
3864,229,1
3865,40,3
3865,135,1
3865,259,2
3866,263,1
3867,35,2
3867,97,1
3868,84,2
3868,97,1
3869,84,3
3869,97,1
3869,226,2
3870,163,1
3871,8,1
3872,8,1
3873,8,1
3873,33,2
3874,143,1
3875,8,1
3875,33,2
3876,8,1
3878,8,3
3878,33,1
3878,231,2
3879,33,1
3879,231,2
3880,33,1
3881,229,1
3882,33,2
3882,229,1
3883,35,3
3883,131,1
3883,158,4
3883,263,2
3884,39,2
3884,229,1
3885,8,1
3886,39,1
3887,229,1
3888,39,1
3888,155,2
3889,39,1
3890,39,1
3892,229,1
3893,41,3
3893,144,4
3893,227,2
3893,256,1
3893,259,5
3894,144,3
3894,190,1
3894,227,2
3895,160,1
3896,135,1
3897,40,1
3898,47,2
3898,110,1
3900,226,1
3901,263,1
3902,97,2
3902,281,1
3904,58,1
3905,84,1
3906,263,1
3907,36,1
3908,5,1
3908,263,2
3909,228,1
3910,125,2
3910,257,1
3912,52,2
3912,257,1
3914,173,1
3915,206,1
3917,206,1
3918,163,1
3918,170,4
3918,206,2
3918,229,3
3919,206,1
3920,206,1
3921,229,1
3922,259,1
3923,8,1
3924,8,2
3924,229,1
3925,35,2
3925,143,1
3926,94,3
3926,128,1
3926,210,2
3927,259,1
3928,128,2
3928,275,1
3929,97,2
3929,228,1
3930,131,1
3930,263,2
3931,84,1
3932,35,1
3933,276,1
3934,5,1
3934,35,3
3934,263,2
3935,202,3
3935,212,2
3935,228,1
3937,102,1
3938,35,1
3940,40,3
3940,110,2
3940,276,1
3941,56,1
3942,143,1
3943,7,3
3943,25,4
3943,41,1
3943,214,2
3944,228,1
3945,173,2
3945,257,1
3946,40,1
3947,41,1
3947,79,2
3948,41,1
3949,39,1
3950,144,1
3951,35,1
3951,128,2
3952,41,1
3952,243,2
3953,143,2
3953,151,3
3953,278,1
3954,257,1
3955,229,1
3956,35,3
3956,158,1
3956,263,2
3958,259,1
3959,40,1
3960,5,1
3960,263,2
3961,128,1
3962,257,1
3963,143,3
3963,151,2
3963,278,1
3964,59,2
3964,205,1
3965,47,2
3965,110,3
3965,197,1
3966,47,1
3966,143,2
3967,7,3
3967,42,2
3967,68,1
3968,97,1
3969,35,1
3969,41,2
3969,59,4
3969,265,3
3971,35,1
3971,269,2
3972,275,1
3973,52,1
3974,23,1
3974,211,2
3975,34,3
3975,204,1
3975,211,2
3976,229,1
3977,62,1
3977,101,2
3977,198,3
3978,35,1
3978,265,2
3980,145,1
3980,170,3
3980,206,2
3981,171,2
3981,204,1
3982,29,2
3982,92,1
3983,46,1
3983,211,2
3984,148,1
3984,221,2
3985,28,2
3985,29,5
3985,48,10
3985,130,7
3985,133,4
3985,164,6
3985,166,1
3985,175,9
3985,223,8
3985,232,3
3986,7,2
3986,259,1
3987,35,3
3987,178,2
3987,265,1
3988,178,1
3989,97,1
3990,35,2
3990,255,1
3991,33,1
3992,97,2
3992,265,1
3993,206,1
3994,59,2
3994,199,3
3994,236,1
3995,62,2
3995,101,3
3995,264,1
3996,112,1
3997,102,1
3997,143,2
4000,35,1
4001,243,1
4001,259,2
4002,52,1
4004,265,1
4005,161,1
4006,62,1
4008,9,2
4008,263,1
4009,52,4
4009,63,5
4009,75,1
